"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Deni Avdija","Was","F","22.9","22","26.8","17.9","13.7","40","0.825","139","0.597","63","0.349","0.574","0.603","12","5.5","3.9","0.9","0.4","1.5","17.5","15.9","21.4","9.5","119.3","116.7"
"","Herbert Jones","Nor","G","25.2","21","31.1","15","15.7","64","0.875","98","0.622","73","0.342","0.576","0.635","12","4.6","2.9","1.7","1.2","1.5","16.7","15","19.6","7","122.7","104.9"
"","Jordan Hawkins","Nor","G","21.6","23","25.9","19.4","8.7","46","0.87","77","0.429","153","0.366","0.509","0.547","11.9","3.5","1.7","0.4","0","1","15.4","13.6","17.1","6.4","110.5","111.6"
"","Harrison Barnes","Sac","F","31.5","21","31.4","13.9","8.7","51","0.824","79","0.582","98","0.388","0.582","0.622","11.8","3.4","1.5","0.8","0.2","0.8","15.2","13.3","16.7","5","123.9","117.2"
"","Jusuf Nurkic","Pho","C","29.3","22","28","20.1","18.2","76","0.697","152","0.533","54","0.278","0.502","0.543","11.8","9.1","3.8","1","1.2","2.1","20.9","15.6","24.7","10.6","113.1","100.7"
"","Nic Claxton","Bro","C","24.7","13","27.1","15.1","8","30","0.6","103","0.65","0","0","0.65","0.654","11.7","9.4","1.5","0.5","2.5","0.7","21.1","13.2","22.5","8.1","137.5","107"
"","Jonathan Kuminga","Gol","F","21.2","21","20.1","25.2","13","73","0.685","144","0.535","50","0.28","0.505","0.544","11.7","3.3","1","0.6","0.3","1.4","15","12.7","16","6.7","104.9","105.4"
"","Josh Giddey","Okc","G","21.2","22","26","24.7","17.4","27","0.778","205","0.444","56","0.321","0.452","0.471","11.7","6","4.4","0.9","0.5","2.5","17.7","16.1","22.1","10.4","97.5","109.5"
"","Russell Westbrook","Lac","G","35.1","22","25.3","23.8","18.5","58","0.621","172","0.494","57","0.281","0.476","0.499","11.5","6.4","5","1.2","0.5","2.4","18","16.5","22.9","11.3","104.3","103.3"
"","Jaden Ivey","Det","G","21.8","19","23.6","20.7","18.2","55","0.818","102","0.588","59","0.305","0.54","0.591","11.5","2.7","2.7","0.8","0.4","1.9","14.2","14.2","16.9","7.4","110.5","111.7"
"","Mike Conley","Min","G","36.2","22","29.7","15.1","10.9","35","0.943","71","0.479","117","0.427","0.58","0.617","11.4","3.1","6.2","1","0.1","1","14.5","17.6","20.7","8.1","133.5","105.6"
"","Markelle Fultz","Orl","G","25.5","5","28.6","18.8","9.6","4","0.75","53","0.509","3","0","0.482","0.493","11.4","3.4","4","1.2","0.4","1.2","14.8","15.4","18.8","7.5","109","109.6"
"","Rui Hachimura","Lal","F","25.8","14","23.6","18.9","9.1","30","0.767","78","0.551","42","0.405","0.571","0.601","11.4","3.5","1.1","0.8","0.2","0.9","14.9","12.5","16","6","115.6","107.2"
"","Keyonte George","Uta","G","20.1","23","26.7","21.2","18.8","73","0.781","108","0.407","121","0.322","0.448","0.502","11.4","3.1","5.2","0.5","0.1","2.3","14.5","16.6","19.7","8.5","105.8","121.1"
"","Tyus Jones","Was","G","27.6","22","26.8","16.6","7.1","17","0.765","139","0.59","70","0.343","0.565","0.575","11.3","2.9","4.9","1","0.2","0.7","14.2","16.2","19","8.1","122.3","123.9"
"","Bobby Portis","Mil","F","28.8","23","23.7","20.2","8.7","37","0.784","163","0.552","58","0.293","0.523","0.548","11.3","6.6","1.1","0.7","0.6","0.9","17.9","12.4","19","7.3","112.2","106.9"
"","Dorian Finney-Smith","Bro","F","30.6","21","30.8","13.2","9.1","6","0.667","58","0.534","122","0.459","0.639","0.641","11.1","5.2","1.3","0.6","0.7","0.9","16.4","12.4","17.7","5.5","127.8","112.7"
"","Aaron Nesmith","Ind","G-F","24.2","19","25.8","13.9","7.9","33","0.636","66","0.652","74","0.459","0.671","0.676","11","2.9","1","0.9","0.6","0.6","13.9","12","14.9","4.9","129.4","112.3"
"","Clint Capela","Atl","C","29.6","22","25.1","16.5","9.4","54","0.63","182","0.566","0","0","0.566","0.583","10.9","10.4","1.1","0.7","1.6","0.9","21.3","12","22.4","8","128.6","109.9"
"","Corey Kispert","Was","F","24.8","21","22.9","18.5","10.9","43","0.767","63","0.571","109","0.376","0.567","0.597","10.9","2.5","1.6","0.4","0","1","13.4","12.4","15","6.1","112.7","119.6"
"","Jeremy Sochan","San","G","20.6","22","29.2","18.9","19.9","43","0.791","166","0.446","51","0.373","0.472","0.507","10.9","5.1","4.1","0.7","0.3","2.5","16","15","20.1","8.4","98.9","113"
"","Kentavious Caldwell-Pope","Den","G","30.8","24","33.7","13.3","13.1","51","0.902","109","0.486","89","0.404","0.54","0.59","10.8","2","2.6","1.5","0.5","1.3","12.8","13.4","15.4","4.5","115.4","113.6"
"","Jakob Poeltl","Tor","C","28.2","23","26.5","14.6","18.3","45","0.489","156","0.724","0","0","0.724","0.705","10.8","8.3","2.2","0.7","1.1","1.5","19.1","13","21.3","8.8","127.2","105.3"
"","Isaiah Stewart","Det","F","22.6","23","31.1","15","16.3","40","0.775","112","0.527","88","0.375","0.543","0.57","10.8","7.1","1.4","0.3","0.6","1.7","17.9","12.2","19.3","6.1","107.3","113.8"
"","Alec Burks","Det","G","32.4","16","18.8","22.3","5.8","52","0.885","47","0.34","82","0.378","0.484","0.563","10.7","2.3","1.7","0.4","0.3","0.5","12.9","12.4","14.6","7.4","121.8","116"
"","Dario Saric","Gol","F-C","29.7","22","21.6","19.8","13.6","46","0.826","84","0.536","94","0.383","0.556","0.595","10.7","6.1","2.4","0.7","0.3","1.3","16.9","13.1","19.2","10","120.4","104"
"","Ausar Thompson","Det","F","20.9","23","27.6","19","16.6","50","0.68","173","0.543","48","0.146","0.473","0.5","10.6","8.4","2.5","1","1.3","1.9","19","13","21.5","8.8","103.1","106.2"
"","Josh Richardson","Mia","G","30.2","20","27.8","16.2","11.5","31","0.903","83","0.578","86","0.314","0.524","0.561","10.3","2.7","3.1","0.6","0.3","1.1","13","13.3","16","6.4","113.7","112.3"
"","Gary Trent Jr.","Tor","G-F","24.9","20","25.1","18.9","5.7","32","0.594","97","0.423","102","0.343","0.47","0.483","10.3","2","1.4","0.7","0.1","0.6","12.3","11.7","13.7","4.9","101.6","115.6"
"","Luguentz Dort","Okc","F","24.6","21","28.2","15.1","11.4","52","0.827","76","0.487","87","0.379","0.531","0.581","10.3","4.1","1.2","0.9","0.8","1","14.4","11.5","15.6","5.2","116.3","106.7"
"","Draymond Green","Gol","F","33.8","14","25.7","17","24.6","30","0.833","61","0.525","40","0.45","0.584","0.626","10.2","5.8","6.1","0.4","0.8","2.4","16","16.3","22.1","11.1","122.4","105.2"
"","Jalen Smith","Ind","F-C","23.7","14","15.4","19.3","16.6","27","0.741","54","0.722","21","0.667","0.8","0.806","10","5.5","0.9","0.4","0.3","1.1","15.5","10.9","16.4","9.5","139.4","107.5"
"","Isaiah Joe","Okc","G","24.4","22","20.3","17.5","5.9","27","0.852","32","0.438","127","0.441","0.616","0.641","10","2.3","1.1","0.9","0.3","0.5","12.2","11.1","13.4","5.8","124.4","111"
"","Scoot Henderson","Por","G","19.9","13","25.9","24.8","22.5","24","0.667","90","0.433","54","0.222","0.396","0.421","10","2.8","4.2","0.5","0.2","3.2","12.8","14.2","17","7.6","84.2","103.5"
"","Derrick Jones Jr.","Dal","F","26.8","22","23.4","15.9","11.2","33","0.727","66","0.652","93","0.387","0.61","0.628","9.9","3.8","1","0.6","0.9","0.9","13.7","10.9","14.6","5.7","120.9","112.5"
"","Daniel Gafford","Was","C","25.2","19","24.8","13.9","15.3","43","0.651","116","0.69","0","0","0.69","0.697","9.9","7.2","1.7","0.6","2.1","1.1","17.1","11.6","18.8","8","134.3","110.3"
"","Marvin Bagley III","Det","F","24.7","20","18.3","20.7","16.2","48","0.854","129","0.589","5","0.2","0.578","0.632","9.8","4.8","1.2","0.1","0.6","1.3","14.6","11","15.8","8.4","118.9","114.4"
"","Grant Williams","Dal","F","25","19","28.8","13.7","10.3","31","0.645","41","0.463","106","0.406","0.568","0.582","9.8","3.7","1.7","0.3","0.6","0.9","13.6","11.5","15.3","5.5","117.9","111.7"
"","Killian Hayes","Det","G","22.4","22","26.9","16.5","10.1","36","0.694","138","0.493","58","0.31","0.485","0.507","9.8","3","4.4","1.1","0.6","1","12.8","14.2","17.2","7.5","112","114.9"
"","Jaden McDaniels","Min","F","23.2","12","24","15.8","11.6","3","0.667","56","0.679","35","0.371","0.632","0.634","9.8","2.3","1.2","0.5","0.3","1","12","10.9","13.2","5","115.5","98.4"
"","Talen Horton-Tucker","Uta","G","23","23","21.7","22.2","17","34","0.853","122","0.434","88","0.33","0.46","0.493","9.7","2.7","4.2","0.9","0.5","1.9","12.3","13.9","16.6","8.8","103.9","112.6"
"","Sam Hauser","Bos","F","26","21","22.8","14.8","7.5","10","0.8","17","0.647","131","0.435","0.652","0.659","9.6","3.6","0.9","0.5","0.4","0.6","13.1","10.4","14","5.5","128.9","107.7"
"","Alex Caruso","Chi","G","29.8","20","23.5","15.4","17.7","31","0.774","56","0.625","69","0.464","0.664","0.685","9.5","3.4","2.3","1.3","0.8","1.4","12.9","11.8","15.2","7.2","125.9","109.6"
"","Wendell Carter Jr.","Orl","C","24.7","5","29.4","17","15","14","0.571","29","0.414","16","0.313","0.433","0.459","9.4","8.6","1.6","0.6","0.4","1.6","18","11","19.6","6.9","96.6","101.2"
"","Matt Ryan","Nor","F","26.7","13","22.9","15","16.1","14","0.929","15","0.4","68","0.471","0.651","0.679","9.3","2.3","1.1","0.4","0.1","1.2","11.6","10.4","12.7","5","116.8","111.4"
"","Kyle Lowry","Mia","G","37.7","22","29.6","13.5","16.5","27","0.815","49","0.449","107","0.421","0.574","0.599","9.1","4.1","4.3","1.2","0.3","1.4","13.3","13.5","17.6","7.3","119.6","107.1"
"","Dereck Lively II","Dal","C","19.8","20","25.7","12.2","18.3","27","0.593","109","0.761","2","0","0.748","0.741","9.1","8.1","1.3","0.6","1.6","1.3","17.2","10.4","18.5","7.1","136.7","104.1"
"","Kevin Love","Mia","F","35.3","17","18.4","18.9","7.5","33","0.848","30","0.6","80","0.363","0.559","0.606","8.9","6.5","2.5","0.2","0.1","0.5","15.4","11.4","17.9","11.4","130.3","102.4"
"","Walker Kessler","Uta","C","22.4","15","25.1","15","14.8","19","0.579","98","0.592","11","0.182","0.56","0.567","8.9","8.2","0.8","0.4","2.4","1.3","17.1","9.7","17.9","6.2","111.7","112.8"
"","Bilal Coulibaly","Was","G","19.4","21","26.6","13.8","19.6","35","0.629","75","0.613","60","0.4","0.607","0.618","8.9","4.1","1.8","1.1","0.7","1.6","13","10.7","14.8","6.1","107.7","118.8"
"","Derrick Rose","Mem","G","35.2","13","18.8","23","16.1","17","0.882","78","0.462","26","0.346","0.476","0.511","8.8","1.9","3.4","0.5","0.1","1.5","10.7","12.2","14.1","8.2","103.5","114.1"
"","Taurean Prince","Lal","F","29.7","21","30.3","12.7","8.9","18","0.722","69","0.507","95","0.358","0.524","0.538","8.8","2.5","1.4","0.8","0.4","0.8","11.3","10.2","12.7","4.1","104.6","108.1"
"","Patrick Williams","Chi","F","22.3","24","25.9","16","13.3","40","0.725","110","0.491","73","0.342","0.5","0.528","8.8","4.3","1.3","1","0.9","1.2","13.1","10.2","14.5","5.7","105.5","113.4"
"","Chris Paul","Gol","G","38.6","19","26.5","15","13","28","0.929","81","0.457","66","0.318","0.466","0.512","8.6","3.6","7.2","1.4","0.1","1.2","12.2","15.8","19.4","9.2","124.6","110.3"
"","Donte DiVincenzo","Nyk","G","26.9","22","20.3","17.6","13","19","0.684","44","0.409","110","0.427","0.575","0.585","8.6","2.9","1.9","0.8","0.3","1","11.5","10.5","13.4","7.1","117","108.5"
"","Trey Lyles","Sac","F","28.1","8","19.9","17.1","12.2","17","0.647","14","0.643","36","0.361","0.57","0.592","8.5","5.4","1.5","0","0.3","0.9","13.9","10","15.4","8.2","117.6","108.1"
"","Josh Hart","Nyk","G","28.8","22","28.6","12.2","12","17","0.706","88","0.557","65","0.4","0.575","0.586","8.5","6.1","3","1","0.3","1","14.7","11.5","17.6","7.5","124.1","107.5"
"","Moses Moody","Gol","G","21.5","22","19","17.1","8.8","32","0.75","72","0.611","72","0.347","0.566","0.591","8.5","3.5","1","0.8","0.3","0.6","12","9.5","13","6.5","120.9","109.4"
"","Christian Braun","Den","G","22.7","24","19.9","18","8.7","39","0.744","130","0.508","37","0.378","0.521","0.551","8.5","4","1.8","0.4","0.3","0.7","12.5","10.3","14.3","7.9","115.5","108.5"
"","Onyeka Okongwu","Atl","F-C","23","22","23.3","12.9","11.4","51","0.843","99","0.636","25","0.2","0.569","0.628","8.4","6.8","1.5","0.5","0.8","0.7","15.1","9.9","16.7","7.6","134.8","109.3"
"","David Roddy","Mem","F","22.7","22","24","16.3","10.9","21","0.667","98","0.531","73","0.301","0.497","0.51","8.4","4.3","1.1","0.7","0.4","1","12.6","9.5","13.7","5.7","101.6","111.7"
"","Georges Niang","Cle","F","30.5","23","22.5","16.5","7.8","13","0.923","73","0.479","103","0.35","0.506","0.523","8.3","4","1.3","0.3","0.1","0.7","12.2","9.5","13.5","6.2","106.6","104.5"
"","Luke Kennard","Mem","G","27.5","8","21.5","16.4","7.9","7","1","12","0.333","46","0.37","0.509","0.54","8.3","2.9","2","0.6","0.1","0.6","11.1","10.3","13.1","6.8","113.5","116.9"
"","Landry Shamet","Was","G","26.8","15","16.9","19","8.2","11","0.455","41","0.585","60","0.4","0.594","0.591","8.3","1.4","1.5","0.6","0.1","0.6","9.7","9.8","11.2","6.1","111.8","114.9"
